# Logfile created on 2025-08-28 21:25:42 +0900 by logger.rb/v1.5.3
2025-08-28 21:25:42 +0900: Memory Usage (498860K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:25:42 +0900: Memory Usage (498860K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : Loading database to memory is complete.
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_cont.lyrdb
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : Evaluate switches.
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : table_name selected  cont
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : Klayout will use 10 thread(s)
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : flat mode is enabled for cont table.
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : FEOL enabled: true
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : BEOL enabled: true
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : OffGrid enabled: true
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : PreCheck DRC enabled: false
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : CONNECTIVITY_RULES enabled: false for table cont
2025-08-28 21:25:44 +0900: Memory Usage (544428K) : Read in polygons from layers.
2025-08-28 21:25:50 +0900: Memory Usage (554384K) : activ_drw has 10081 polygons
2025-08-28 21:25:50 +0900: Memory Usage (554384K) : activ_pin has 0 polygons
2025-08-28 21:25:50 +0900: Memory Usage (554384K) : activ_mask has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : activ_filler has 30337 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : activ_nofill has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : activ_opc has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : activ_iopc has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : activ_noqrc has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : biwind_drw has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : biwind_opc has 0 polygons
2025-08-28 21:25:51 +0900: Memory Usage (554384K) : pemwind_drw has 0 polygons
2025-08-28 21:25:59 +0900: Memory Usage (620820K) : gatpoly_drw has 23583 polygons
2025-08-28 21:25:59 +0900: Memory Usage (620820K) : gatpoly_pin has 0 polygons
2025-08-28 21:26:00 +0900: Memory Usage (620820K) : gatpoly_filler has 30337 polygons
2025-08-28 21:26:00 +0900: Memory Usage (620820K) : gatpoly_nofill has 0 polygons
2025-08-28 21:26:00 +0900: Memory Usage (620820K) : gatpoly_opc has 0 polygons
2025-08-28 21:26:00 +0900: Memory Usage (620820K) : gatpoly_iopc has 0 polygons
2025-08-28 21:26:00 +0900: Memory Usage (620820K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:27:29 +0900: Memory Usage (956316K) : cont_drw has 2901899 polygons
2025-08-28 21:27:29 +0900: Memory Usage (956316K) : cont_opc has 0 polygons
2025-08-28 21:27:29 +0900: Memory Usage (956316K) : nsd_drw has 0 polygons
2025-08-28 21:27:29 +0900: Memory Usage (956316K) : nsd_block has 0 polygons
2025-08-28 21:27:41 +0900: Memory Usage (977564K) : metal1_drw has 16153 polygons
2025-08-28 21:27:41 +0900: Memory Usage (977564K) : metal1_pin has 794 polygons
2025-08-28 21:27:41 +0900: Memory Usage (977564K) : metal1_mask has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977564K) : metal1_filler has 60876 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977564K) : metal1_nofill has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977564K) : metal1_slit has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_text has 85780 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_opc has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_noqrc has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_res has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_iprobe has 0 polygons
2025-08-28 21:27:43 +0900: Memory Usage (977860K) : metal1_diffprb has 0 polygons
2025-08-28 21:27:44 +0900: Memory Usage (977860K) : passiv_drw has 39 polygons
2025-08-28 21:27:44 +0900: Memory Usage (977860K) : passiv_pin has 0 polygons
2025-08-28 21:27:44 +0900: Memory Usage (977860K) : passiv_sbump has 0 polygons
2025-08-28 21:27:44 +0900: Memory Usage (977860K) : passiv_pillar has 0 polygons
2025-08-28 21:27:44 +0900: Memory Usage (977860K) : passiv_pdl has 0 polygons
2025-08-28 21:27:46 +0900: Memory Usage (977860K) : metal2_drw has 9306 polygons
2025-08-28 21:27:46 +0900: Memory Usage (977860K) : metal2_pin has 691 polygons
2025-08-28 21:27:46 +0900: Memory Usage (977860K) : metal2_mask has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_filler has 66402 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_nofill has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_slit has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_text has 1251 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_opc has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_noqrc has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_res has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_iprobe has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : metal2_diffprb has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : baspoly_drw has 0 polygons
2025-08-28 21:27:49 +0900: Memory Usage (977860K) : baspoly_pin has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (977860K) : psd_drw has 1631 polygons
2025-08-28 21:27:53 +0900: Memory Usage (977860K) : nldb_drw has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (977860K) : digibnd_drw has 0 polygons
2025-08-28 21:27:56 +0900: Memory Usage (977860K) : via1_drw has 109916 polygons
2025-08-28 21:27:56 +0900: Memory Usage (977860K) : backmetal1_drw has 0 polygons
