# Logfile created on 2025-08-28 21:28:57 +0900 by logger.rb/v1.5.3
2025-08-28 21:28:57 +0900: Memory Usage (500000K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:28:57 +0900: Memory Usage (500000K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : Loading database to memory is complete.
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_copperpillar.lyrdb
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : Evaluate switches.
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : table_name selected  copperpillar
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : Klayout will use 10 thread(s)
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : flat mode is enabled for copperpillar table.
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : FEOL enabled: true
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : BEOL enabled: true
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : OffGrid enabled: true
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : PreCheck DRC enabled: false
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : CONNECTIVITY_RULES enabled: false for table copperpillar
2025-08-28 21:28:58 +0900: Memory Usage (545916K) : Read in polygons from layers.
2025-08-28 21:29:05 +0900: Memory Usage (555240K) : activ_drw has 10081 polygons
2025-08-28 21:29:05 +0900: Memory Usage (555240K) : activ_pin has 0 polygons
2025-08-28 21:29:05 +0900: Memory Usage (555240K) : activ_mask has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : activ_filler has 30337 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : activ_nofill has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : activ_opc has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : activ_iopc has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : activ_noqrc has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : biwind_drw has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : biwind_opc has 0 polygons
2025-08-28 21:29:07 +0900: Memory Usage (555240K) : pemwind_drw has 0 polygons
