# Logfile created on 2025-08-28 21:36:58 +0900 by logger.rb/v1.5.3
2025-08-28 21:36:58 +0900: Memory Usage (500020K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:36:58 +0900: Memory Usage (500020K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : Loading database to memory is complete.
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_forbidden.lyrdb
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : Evaluate switches.
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : table_name selected  forbidden
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : Klayout will use 10 thread(s)
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : flat mode is enabled for forbidden table.
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : FEOL enabled: true
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : BEOL enabled: true
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : OffGrid enabled: true
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : PreCheck DRC enabled: false
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : CONNECTIVITY_RULES enabled: false for table forbidden
2025-08-28 21:37:00 +0900: Memory Usage (546264K) : Read in polygons from layers.
2025-08-28 21:37:07 +0900: Memory Usage (554524K) : activ_drw has 10081 polygons
2025-08-28 21:37:07 +0900: Memory Usage (554524K) : activ_pin has 0 polygons
2025-08-28 21:37:07 +0900: Memory Usage (554524K) : activ_mask has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : activ_filler has 30337 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : activ_nofill has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : activ_opc has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : activ_iopc has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : activ_noqrc has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : biwind_drw has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : biwind_opc has 0 polygons
2025-08-28 21:37:08 +0900: Memory Usage (554524K) : pemwind_drw has 0 polygons
2025-08-28 21:37:17 +0900: Memory Usage (621068K) : gatpoly_drw has 23583 polygons
2025-08-28 21:37:17 +0900: Memory Usage (621068K) : gatpoly_pin has 0 polygons
2025-08-28 21:37:18 +0900: Memory Usage (621068K) : gatpoly_filler has 30337 polygons
2025-08-28 21:37:18 +0900: Memory Usage (621068K) : gatpoly_nofill has 0 polygons
2025-08-28 21:37:18 +0900: Memory Usage (621068K) : gatpoly_opc has 0 polygons
2025-08-28 21:37:18 +0900: Memory Usage (621068K) : gatpoly_iopc has 0 polygons
2025-08-28 21:37:18 +0900: Memory Usage (621068K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:38:45 +0900: Memory Usage (955832K) : cont_drw has 2901899 polygons
2025-08-28 21:38:45 +0900: Memory Usage (955832K) : cont_opc has 0 polygons
2025-08-28 21:38:45 +0900: Memory Usage (955832K) : nsd_drw has 0 polygons
2025-08-28 21:38:45 +0900: Memory Usage (955832K) : nsd_block has 0 polygons
2025-08-28 21:38:57 +0900: Memory Usage (977848K) : metal1_drw has 16153 polygons
2025-08-28 21:38:57 +0900: Memory Usage (977848K) : metal1_pin has 794 polygons
2025-08-28 21:38:57 +0900: Memory Usage (977848K) : metal1_mask has 0 polygons
2025-08-28 21:38:59 +0900: Memory Usage (977848K) : metal1_filler has 60876 polygons
2025-08-28 21:38:59 +0900: Memory Usage (977848K) : metal1_nofill has 0 polygons
2025-08-28 21:38:59 +0900: Memory Usage (977848K) : metal1_slit has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_text has 85780 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_opc has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_noqrc has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_res has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_iprobe has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : metal1_diffprb has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : passiv_drw has 39 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : passiv_pin has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : passiv_sbump has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : passiv_pillar has 0 polygons
2025-08-28 21:39:00 +0900: Memory Usage (978104K) : passiv_pdl has 0 polygons
2025-08-28 21:39:02 +0900: Memory Usage (978104K) : metal2_drw has 9306 polygons
2025-08-28 21:39:03 +0900: Memory Usage (978104K) : metal2_pin has 691 polygons
2025-08-28 21:39:03 +0900: Memory Usage (978104K) : metal2_mask has 0 polygons
2025-08-28 21:39:05 +0900: Memory Usage (978104K) : metal2_filler has 66402 polygons
2025-08-28 21:39:05 +0900: Memory Usage (978104K) : metal2_nofill has 0 polygons
2025-08-28 21:39:05 +0900: Memory Usage (978104K) : metal2_slit has 0 polygons
2025-08-28 21:39:05 +0900: Memory Usage (978104K) : metal2_text has 1251 polygons
2025-08-28 21:39:05 +0900: Memory Usage (978104K) : metal2_opc has 0 polygons
