# Logfile created on 2025-09-12 21:28:02 +0900 by logger.rb/v1.5.3
2025-09-12 21:28:02 +0900: Memory Usage (498956K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:28:02 +0900: Memory Usage (498956K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : Loading database to memory is complete.
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_gatpolyfiller.lyrdb
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : Evaluate switches.
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : table_name selected  gatpolyfiller
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : Klayout will use 10 thread(s)
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : flat mode is enabled for gatpolyfiller table.
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : FEOL enabled: true
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : BEOL enabled: true
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : OffGrid enabled: true
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : PreCheck DRC enabled: false
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : CONNECTIVITY_RULES enabled: false for table gatpolyfiller
2025-09-12 21:28:03 +0900: Memory Usage (544036K) : Read in polygons from layers.
2025-09-12 21:28:10 +0900: Memory Usage (553736K) : activ_drw has 12386 polygons
2025-09-12 21:28:10 +0900: Memory Usage (553736K) : activ_pin has 0 polygons
2025-09-12 21:28:10 +0900: Memory Usage (553736K) : activ_mask has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : activ_filler has 30752 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : activ_nofill has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : activ_opc has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : activ_iopc has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : activ_noqrc has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : biwind_drw has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : biwind_opc has 0 polygons
2025-09-12 21:28:11 +0900: Memory Usage (554248K) : pemwind_drw has 0 polygons
2025-09-12 21:28:20 +0900: Memory Usage (620692K) : gatpoly_drw has 22203 polygons
2025-09-12 21:28:20 +0900: Memory Usage (620692K) : gatpoly_pin has 0 polygons
2025-09-12 21:28:21 +0900: Memory Usage (620692K) : gatpoly_filler has 30752 polygons
2025-09-12 21:28:21 +0900: Memory Usage (620692K) : gatpoly_nofill has 0 polygons
2025-09-12 21:28:21 +0900: Memory Usage (620692K) : gatpoly_opc has 0 polygons
2025-09-12 21:28:21 +0900: Memory Usage (620692K) : gatpoly_iopc has 0 polygons
2025-09-12 21:28:21 +0900: Memory Usage (620692K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:29:48 +0900: Memory Usage (961192K) : cont_drw has 3031017 polygons
2025-09-12 21:29:48 +0900: Memory Usage (961192K) : cont_opc has 0 polygons
2025-09-12 21:29:48 +0900: Memory Usage (961192K) : nsd_drw has 0 polygons
2025-09-12 21:29:48 +0900: Memory Usage (961192K) : nsd_block has 0 polygons
2025-09-12 21:29:59 +0900: Memory Usage (982696K) : metal1_drw has 18812 polygons
2025-09-12 21:30:00 +0900: Memory Usage (982696K) : metal1_pin has 3000 polygons
2025-09-12 21:30:00 +0900: Memory Usage (982696K) : metal1_mask has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_filler has 58856 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_nofill has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_slit has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_text has 74538 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_opc has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_noqrc has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_res has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_iprobe has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : metal1_diffprb has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : passiv_drw has 39 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : passiv_pin has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : passiv_sbump has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : passiv_pillar has 0 polygons
2025-09-12 21:30:02 +0900: Memory Usage (982696K) : passiv_pdl has 0 polygons
2025-09-12 21:30:05 +0900: Memory Usage (982696K) : metal2_drw has 10652 polygons
2025-09-12 21:30:05 +0900: Memory Usage (982696K) : metal2_pin has 1719 polygons
2025-09-12 21:30:05 +0900: Memory Usage (982696K) : metal2_mask has 0 polygons
2025-09-12 21:30:07 +0900: Memory Usage (982696K) : metal2_filler has 64947 polygons
2025-09-12 21:30:07 +0900: Memory Usage (982696K) : metal2_nofill has 0 polygons
2025-09-12 21:30:07 +0900: Memory Usage (982696K) : metal2_slit has 0 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_text has 2418 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_opc has 0 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_noqrc has 0 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_res has 0 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_iprobe has 0 polygons
2025-09-12 21:30:08 +0900: Memory Usage (982696K) : metal2_diffprb has 0 polygons
