# Logfile created on 2025-09-12 21:26:37 +0900 by logger.rb/v1.5.3
2025-09-12 21:26:37 +0900: Memory Usage (498936K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:26:37 +0900: Memory Usage (498936K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : Loading database to memory is complete.
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_latchup.lyrdb
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : Evaluate switches.
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : table_name selected  latchup
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : Klayout will use 10 thread(s)
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : flat mode is enabled for latchup table.
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : FEOL enabled: true
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : BEOL enabled: true
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : OffGrid enabled: true
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : PreCheck DRC enabled: false
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : CONNECTIVITY_RULES enabled: false for table latchup
2025-09-12 21:26:39 +0900: Memory Usage (543800K) : Read in polygons from layers.
2025-09-12 21:26:45 +0900: Memory Usage (553976K) : activ_drw has 12386 polygons
2025-09-12 21:26:45 +0900: Memory Usage (553976K) : activ_pin has 0 polygons
2025-09-12 21:26:45 +0900: Memory Usage (553976K) : activ_mask has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : activ_filler has 30752 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : activ_nofill has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : activ_opc has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : activ_iopc has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : activ_noqrc has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : biwind_drw has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : biwind_opc has 0 polygons
2025-09-12 21:26:47 +0900: Memory Usage (554744K) : pemwind_drw has 0 polygons
2025-09-12 21:26:55 +0900: Memory Usage (621288K) : gatpoly_drw has 22203 polygons
2025-09-12 21:26:55 +0900: Memory Usage (621288K) : gatpoly_pin has 0 polygons
2025-09-12 21:26:57 +0900: Memory Usage (621288K) : gatpoly_filler has 30752 polygons
2025-09-12 21:26:57 +0900: Memory Usage (621288K) : gatpoly_nofill has 0 polygons
2025-09-12 21:26:57 +0900: Memory Usage (621288K) : gatpoly_opc has 0 polygons
