# Logfile created on 2025-09-12 21:18:40 +0900 by logger.rb/v1.5.3
2025-09-12 21:18:40 +0900: Memory Usage (493936K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:18:40 +0900: Memory Usage (493936K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : Loading database to memory is complete.
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_lbe.lyrdb
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : Evaluate switches.
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : table_name selected  lbe
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : Klayout will use 10 thread(s)
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : flat mode is enabled for lbe table.
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : FEOL enabled: true
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : BEOL enabled: true
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : OffGrid enabled: true
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : PreCheck DRC enabled: false
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : CONNECTIVITY_RULES enabled: false for table lbe
2025-09-12 21:18:42 +0900: Memory Usage (539228K) : Read in polygons from layers.
2025-09-12 21:18:48 +0900: Memory Usage (549384K) : activ_drw has 12386 polygons
2025-09-12 21:18:48 +0900: Memory Usage (549384K) : activ_pin has 0 polygons
2025-09-12 21:18:48 +0900: Memory Usage (549384K) : activ_mask has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : activ_filler has 30752 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : activ_nofill has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : activ_opc has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : activ_iopc has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : activ_noqrc has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : biwind_drw has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : biwind_opc has 0 polygons
2025-09-12 21:18:49 +0900: Memory Usage (549896K) : pemwind_drw has 0 polygons
2025-09-12 21:18:58 +0900: Memory Usage (616412K) : gatpoly_drw has 22203 polygons
2025-09-12 21:18:58 +0900: Memory Usage (616412K) : gatpoly_pin has 0 polygons
2025-09-12 21:18:59 +0900: Memory Usage (616412K) : gatpoly_filler has 30752 polygons
2025-09-12 21:18:59 +0900: Memory Usage (616412K) : gatpoly_nofill has 0 polygons
2025-09-12 21:18:59 +0900: Memory Usage (616412K) : gatpoly_opc has 0 polygons
2025-09-12 21:18:59 +0900: Memory Usage (616412K) : gatpoly_iopc has 0 polygons
2025-09-12 21:18:59 +0900: Memory Usage (616412K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:20:27 +0900: Memory Usage (957296K) : cont_drw has 3031017 polygons
2025-09-12 21:20:27 +0900: Memory Usage (957296K) : cont_opc has 0 polygons
2025-09-12 21:20:27 +0900: Memory Usage (957296K) : nsd_drw has 0 polygons
2025-09-12 21:20:27 +0900: Memory Usage (957296K) : nsd_block has 0 polygons
2025-09-12 21:20:38 +0900: Memory Usage (978800K) : metal1_drw has 18812 polygons
2025-09-12 21:20:39 +0900: Memory Usage (978800K) : metal1_pin has 3000 polygons
2025-09-12 21:20:39 +0900: Memory Usage (978800K) : metal1_mask has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (978800K) : metal1_filler has 58856 polygons
2025-09-12 21:20:41 +0900: Memory Usage (978800K) : metal1_nofill has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (978800K) : metal1_slit has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_text has 74538 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_opc has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_noqrc has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_res has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_iprobe has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : metal1_diffprb has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : passiv_drw has 39 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : passiv_pin has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : passiv_sbump has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : passiv_pillar has 0 polygons
2025-09-12 21:20:41 +0900: Memory Usage (979076K) : passiv_pdl has 0 polygons
2025-09-12 21:20:44 +0900: Memory Usage (979076K) : metal2_drw has 10652 polygons
2025-09-12 21:20:44 +0900: Memory Usage (979076K) : metal2_pin has 1719 polygons
2025-09-12 21:20:44 +0900: Memory Usage (979076K) : metal2_mask has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_filler has 64947 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_nofill has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_slit has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_text has 2418 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_opc has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_noqrc has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_res has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_iprobe has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : metal2_diffprb has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : baspoly_drw has 0 polygons
2025-09-12 21:20:47 +0900: Memory Usage (979076K) : baspoly_pin has 0 polygons
2025-09-12 21:20:50 +0900: Memory Usage (979076K) : psd_drw has 2330 polygons
2025-09-12 21:20:50 +0900: Memory Usage (979076K) : nldb_drw has 0 polygons
2025-09-12 21:20:50 +0900: Memory Usage (979076K) : digibnd_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : via1_drw has 128111 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_pin has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_mask has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_filler has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_nofill has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_slit has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_text has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_opc has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_noqrc has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_res has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_iprobe has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backmetal1_diffprb has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : backpassiv_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : res_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : sram_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : trans_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : ind_drw has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : ind_pin has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : ind_text has 0 polygons
2025-09-12 21:20:54 +0900: Memory Usage (979076K) : salblock_drw has 50 polygons
2025-09-12 21:20:58 +0900: Memory Usage (979076K) : via2_drw has 120843 polygons
2025-09-12 21:21:00 +0900: Memory Usage (979076K) : metal3_drw has 5609 polygons
2025-09-12 21:21:00 +0900: Memory Usage (979076K) : metal3_pin has 267 polygons
2025-09-12 21:21:00 +0900: Memory Usage (979076K) : metal3_mask has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_filler has 40197 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_nofill has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_slit has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_text has 629 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_opc has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_noqrc has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_res has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_iprobe has 0 polygons
2025-09-12 21:21:01 +0900: Memory Usage (979076K) : metal3_diffprb has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : nwell_drw has 227 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : nwell_pin has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : nbulay_drw has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : nbulay_pin has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : nbulay_block has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : emwind_drw has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : emwind_opc has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : deepco_drw has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : deepco_drw has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : mim_drw has 0 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : edgeseal_drw has 1 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : edgeseal_bound has 1 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : substrate_drw has 143 polygons
2025-09-12 21:21:04 +0900: Memory Usage (979076K) : substrate_text has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : dfpad_drw has 38 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : dfpad_pillar has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : dfpad_sbump has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : thickgateox_drw has 71 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : pldb_drw has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : pwell_drw has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : pwell_pin has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : pwell_block has 0 polygons
2025-09-12 21:21:05 +0900: Memory Usage (979076K) : ic_drw has 0 polygons
2025-09-12 21:21:08 +0900: Memory Usage (979076K) : via3_drw has 118253 polygons
2025-09-12 21:21:09 +0900: Memory Usage (979076K) : metal4_drw has 2808 polygons
2025-09-12 21:21:09 +0900: Memory Usage (979076K) : metal4_pin has 188 polygons
2025-09-12 21:21:09 +0900: Memory Usage (979076K) : metal4_mask has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_filler has 41189 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_nofill has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_slit has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_text has 527 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_opc has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_noqrc has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_res has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_iprobe has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : metal4_diffprb has 0 polygons
2025-09-12 21:21:10 +0900: Memory Usage (979076K) : heattrans_drw has 0 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : heatres_drw has 26 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : pempoly_drw has 0 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : fbe_drw has 0 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : empoly_drw has 0 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : ldmos_drw has 0 polygons
2025-09-12 21:21:11 +0900: Memory Usage (979076K) : pbiwind_drw has 0 polygons
