# Logfile created on 2025-08-28 21:34:28 +0900 by logger.rb/v1.5.3
2025-08-28 21:34:28 +0900: Memory Usage (498288K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:34:28 +0900: Memory Usage (498288K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : Loading database to memory is complete.
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_metal1.lyrdb
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : Evaluate switches.
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : table_name selected  metal1
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : Klayout will use 10 thread(s)
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : flat mode is enabled for metal1 table.
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : FEOL enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : BEOL enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : OffGrid enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : PreCheck DRC enabled: false
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : CONNECTIVITY_RULES enabled: false for table metal1
2025-08-28 21:34:29 +0900: Memory Usage (543784K) : Read in polygons from layers.
2025-08-28 21:34:36 +0900: Memory Usage (553384K) : activ_drw has 10081 polygons
2025-08-28 21:34:36 +0900: Memory Usage (553384K) : activ_pin has 0 polygons
2025-08-28 21:34:36 +0900: Memory Usage (553384K) : activ_mask has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : activ_filler has 30337 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : activ_nofill has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : activ_opc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : activ_iopc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : activ_noqrc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : biwind_drw has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : biwind_opc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553384K) : pemwind_drw has 0 polygons
2025-08-28 21:34:46 +0900: Memory Usage (620268K) : gatpoly_drw has 23583 polygons
2025-08-28 21:34:46 +0900: Memory Usage (620268K) : gatpoly_pin has 0 polygons
2025-08-28 21:34:47 +0900: Memory Usage (620268K) : gatpoly_filler has 30337 polygons
2025-08-28 21:34:47 +0900: Memory Usage (620268K) : gatpoly_nofill has 0 polygons
2025-08-28 21:34:47 +0900: Memory Usage (620268K) : gatpoly_opc has 0 polygons
2025-08-28 21:34:47 +0900: Memory Usage (620268K) : gatpoly_iopc has 0 polygons
2025-08-28 21:34:47 +0900: Memory Usage (620268K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:36:16 +0900: Memory Usage (955888K) : cont_drw has 2901899 polygons
2025-08-28 21:36:16 +0900: Memory Usage (955888K) : cont_opc has 0 polygons
2025-08-28 21:36:16 +0900: Memory Usage (955888K) : nsd_drw has 0 polygons
