# Logfile created on 2025-08-28 21:34:27 +0900 by logger.rb/v1.5.3
2025-08-28 21:34:27 +0900: Memory Usage (499236K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:34:27 +0900: Memory Usage (499236K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : Loading database to memory is complete.
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_metaln.lyrdb
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : Evaluate switches.
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : table_name selected  metaln
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : Klayout will use 10 thread(s)
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : flat mode is enabled for metaln table.
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : FEOL enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : BEOL enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : OffGrid enabled: true
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : PreCheck DRC enabled: false
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : CONNECTIVITY_RULES enabled: false for table metaln
2025-08-28 21:34:29 +0900: Memory Usage (544364K) : Read in polygons from layers.
2025-08-28 21:34:36 +0900: Memory Usage (553496K) : activ_drw has 10081 polygons
2025-08-28 21:34:36 +0900: Memory Usage (553496K) : activ_pin has 0 polygons
2025-08-28 21:34:36 +0900: Memory Usage (553496K) : activ_mask has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : activ_filler has 30337 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : activ_nofill has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : activ_opc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : activ_iopc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : activ_noqrc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : biwind_drw has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : biwind_opc has 0 polygons
2025-08-28 21:34:37 +0900: Memory Usage (553496K) : pemwind_drw has 0 polygons
2025-08-28 21:34:49 +0900: Memory Usage (620240K) : gatpoly_drw has 23583 polygons
2025-08-28 21:34:49 +0900: Memory Usage (620240K) : gatpoly_pin has 0 polygons
2025-08-28 21:34:51 +0900: Memory Usage (620240K) : gatpoly_filler has 30337 polygons
2025-08-28 21:34:51 +0900: Memory Usage (620240K) : gatpoly_nofill has 0 polygons
2025-08-28 21:34:51 +0900: Memory Usage (620240K) : gatpoly_opc has 0 polygons
2025-08-28 21:34:51 +0900: Memory Usage (620240K) : gatpoly_iopc has 0 polygons
2025-08-28 21:34:51 +0900: Memory Usage (620240K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:36:19 +0900: Memory Usage (955580K) : cont_drw has 2901899 polygons
2025-08-28 21:36:19 +0900: Memory Usage (955580K) : cont_opc has 0 polygons
2025-08-28 21:36:19 +0900: Memory Usage (955580K) : nsd_drw has 0 polygons
2025-08-28 21:36:19 +0900: Memory Usage (955580K) : nsd_block has 0 polygons
2025-08-28 21:36:30 +0900: Memory Usage (977596K) : metal1_drw has 16153 polygons
2025-08-28 21:36:30 +0900: Memory Usage (977596K) : metal1_pin has 794 polygons
2025-08-28 21:36:31 +0900: Memory Usage (977596K) : metal1_mask has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977596K) : metal1_filler has 60876 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977596K) : metal1_nofill has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977596K) : metal1_slit has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_text has 85780 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_opc has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_noqrc has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_res has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_iprobe has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : metal1_diffprb has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : passiv_drw has 39 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : passiv_pin has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : passiv_sbump has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : passiv_pillar has 0 polygons
2025-08-28 21:36:33 +0900: Memory Usage (977868K) : passiv_pdl has 0 polygons
2025-08-28 21:36:36 +0900: Memory Usage (977868K) : metal2_drw has 9306 polygons
