# Logfile created on 2025-08-28 21:31:41 +0900 by logger.rb/v1.5.3
2025-08-28 21:31:41 +0900: Memory Usage (498484K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:31:41 +0900: Memory Usage (498484K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : Loading database to memory is complete.
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_mim.lyrdb
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : Evaluate switches.
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : table_name selected  mim
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : Klayout will use 10 thread(s)
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : flat mode is enabled for mim table.
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : FEOL enabled: true
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : BEOL enabled: true
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : OffGrid enabled: true
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : PreCheck DRC enabled: false
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : CONNECTIVITY_RULES enabled: false for table mim
2025-08-28 21:31:43 +0900: Memory Usage (544420K) : Read in polygons from layers.
2025-08-28 21:31:50 +0900: Memory Usage (553520K) : activ_drw has 10081 polygons
2025-08-28 21:31:50 +0900: Memory Usage (553520K) : activ_pin has 0 polygons
2025-08-28 21:31:50 +0900: Memory Usage (553520K) : activ_mask has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : activ_filler has 30337 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : activ_nofill has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : activ_opc has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : activ_iopc has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : activ_noqrc has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : biwind_drw has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : biwind_opc has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (553520K) : pemwind_drw has 0 polygons
2025-08-28 21:32:00 +0900: Memory Usage (620340K) : gatpoly_drw has 23583 polygons
2025-08-28 21:32:00 +0900: Memory Usage (620340K) : gatpoly_pin has 0 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620340K) : gatpoly_filler has 30337 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620340K) : gatpoly_nofill has 0 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620340K) : gatpoly_opc has 0 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620340K) : gatpoly_iopc has 0 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620340K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:33:28 +0900: Memory Usage (954876K) : cont_drw has 2901899 polygons
2025-08-28 21:33:28 +0900: Memory Usage (954876K) : cont_opc has 0 polygons
2025-08-28 21:33:28 +0900: Memory Usage (954876K) : nsd_drw has 0 polygons
