# Logfile created on 2025-08-28 21:28:53 +0900 by logger.rb/v1.5.3
2025-08-28 21:28:53 +0900: Memory Usage (499684K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:28:53 +0900: Memory Usage (499684K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : Loading database to memory is complete.
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_nbulay.lyrdb
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : Evaluate switches.
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : table_name selected  nbulay
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : Klayout will use 10 thread(s)
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : flat mode is enabled for nbulay table.
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : FEOL enabled: true
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : BEOL enabled: true
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : OffGrid enabled: true
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : PreCheck DRC enabled: false
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : CONNECTIVITY_RULES enabled: true for table nbulay
2025-08-28 21:28:54 +0900: Memory Usage (544916K) : Read in polygons from layers.
2025-08-28 21:29:01 +0900: Memory Usage (554700K) : activ_drw has 10081 polygons
2025-08-28 21:29:01 +0900: Memory Usage (554700K) : activ_pin has 0 polygons
2025-08-28 21:29:01 +0900: Memory Usage (554700K) : activ_mask has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : activ_filler has 30337 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : activ_nofill has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : activ_opc has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : activ_iopc has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : activ_noqrc has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : biwind_drw has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : biwind_opc has 0 polygons
2025-08-28 21:29:03 +0900: Memory Usage (554700K) : pemwind_drw has 0 polygons
