# Logfile created on 2025-08-28 21:37:31 +0900 by logger.rb/v1.5.3
2025-08-28 21:37:31 +0900: Memory Usage (499956K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:37:31 +0900: Memory Usage (499956K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : Loading database to memory is complete.
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_npnsubstratetie.lyrdb
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : Evaluate switches.
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : table_name selected  npnsubstratetie
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : Klayout will use 10 thread(s)
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : flat mode is enabled for npnsubstratetie table.
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : FEOL enabled: true
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : BEOL enabled: true
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : OffGrid enabled: true
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : PreCheck DRC enabled: false
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : CONNECTIVITY_RULES enabled: false for table npnsubstratetie
2025-08-28 21:37:33 +0900: Memory Usage (545780K) : Read in polygons from layers.
2025-08-28 21:37:40 +0900: Memory Usage (554996K) : activ_drw has 10081 polygons
2025-08-28 21:37:40 +0900: Memory Usage (554996K) : activ_pin has 0 polygons
2025-08-28 21:37:40 +0900: Memory Usage (554996K) : activ_mask has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : activ_filler has 30337 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : activ_nofill has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : activ_opc has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : activ_iopc has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : activ_noqrc has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : biwind_drw has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : biwind_opc has 0 polygons
2025-08-28 21:37:41 +0900: Memory Usage (554996K) : pemwind_drw has 0 polygons
