# Logfile created on 2025-08-28 21:38:13 +0900 by logger.rb/v1.5.3
2025-08-28 21:38:13 +0900: Memory Usage (499524K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:38:13 +0900: Memory Usage (499524K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : Loading database to memory is complete.
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_psd.lyrdb
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : Evaluate switches.
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : table_name selected  psd
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : Klayout will use 10 thread(s)
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : flat mode is enabled for psd table.
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : FEOL enabled: true
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : BEOL enabled: true
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : OffGrid enabled: true
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : PreCheck DRC enabled: false
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : CONNECTIVITY_RULES enabled: false for table psd
2025-08-28 21:38:15 +0900: Memory Usage (545400K) : Read in polygons from layers.
2025-08-28 21:38:22 +0900: Memory Usage (554308K) : activ_drw has 10081 polygons
2025-08-28 21:38:22 +0900: Memory Usage (554308K) : activ_pin has 0 polygons
2025-08-28 21:38:22 +0900: Memory Usage (554308K) : activ_mask has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : activ_filler has 30337 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : activ_nofill has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : activ_opc has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : activ_iopc has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : activ_noqrc has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : biwind_drw has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : biwind_opc has 0 polygons
2025-08-28 21:38:23 +0900: Memory Usage (554308K) : pemwind_drw has 0 polygons
2025-08-28 21:38:32 +0900: Memory Usage (620900K) : gatpoly_drw has 23583 polygons
2025-08-28 21:38:32 +0900: Memory Usage (620900K) : gatpoly_pin has 0 polygons
2025-08-28 21:38:33 +0900: Memory Usage (620900K) : gatpoly_filler has 30337 polygons
2025-08-28 21:38:33 +0900: Memory Usage (620900K) : gatpoly_nofill has 0 polygons
2025-08-28 21:38:33 +0900: Memory Usage (620900K) : gatpoly_opc has 0 polygons
2025-08-28 21:38:33 +0900: Memory Usage (620900K) : gatpoly_iopc has 0 polygons
2025-08-28 21:38:33 +0900: Memory Usage (620900K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:40:00 +0900: Memory Usage (955404K) : cont_drw has 2901899 polygons
2025-08-28 21:40:00 +0900: Memory Usage (955404K) : cont_opc has 0 polygons
2025-08-28 21:40:00 +0900: Memory Usage (955404K) : nsd_drw has 0 polygons
2025-08-28 21:40:00 +0900: Memory Usage (955404K) : nsd_block has 0 polygons
2025-08-28 21:40:11 +0900: Memory Usage (977932K) : metal1_drw has 16153 polygons
2025-08-28 21:40:12 +0900: Memory Usage (977932K) : metal1_pin has 794 polygons
2025-08-28 21:40:12 +0900: Memory Usage (977932K) : metal1_mask has 0 polygons
