# Logfile created on 2025-08-28 21:26:03 +0900 by logger.rb/v1.5.3
2025-08-28 21:26:03 +0900: Memory Usage (494816K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:26:03 +0900: Memory Usage (494816K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : Loading database to memory is complete.
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_schottkydiode.lyrdb
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : Evaluate switches.
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : table_name selected  schottkydiode
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : Klayout will use 10 thread(s)
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : flat mode is enabled for schottkydiode table.
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : FEOL enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : BEOL enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : OffGrid enabled: true
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : PreCheck DRC enabled: false
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : CONNECTIVITY_RULES enabled: false for table schottkydiode
2025-08-28 21:26:04 +0900: Memory Usage (540032K) : Read in polygons from layers.
2025-08-28 21:26:11 +0900: Memory Usage (550908K) : activ_drw has 10081 polygons
2025-08-28 21:26:11 +0900: Memory Usage (550908K) : activ_pin has 0 polygons
2025-08-28 21:26:11 +0900: Memory Usage (550908K) : activ_mask has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : activ_filler has 30337 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : activ_nofill has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : activ_opc has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : activ_iopc has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : activ_noqrc has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : biwind_drw has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : biwind_opc has 0 polygons
2025-08-28 21:26:13 +0900: Memory Usage (550908K) : pemwind_drw has 0 polygons
2025-08-28 21:26:21 +0900: Memory Usage (617836K) : gatpoly_drw has 23583 polygons
2025-08-28 21:26:21 +0900: Memory Usage (617836K) : gatpoly_pin has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (617836K) : gatpoly_filler has 30337 polygons
2025-08-28 21:26:22 +0900: Memory Usage (617836K) : gatpoly_nofill has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (617836K) : gatpoly_opc has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (617836K) : gatpoly_iopc has 0 polygons
2025-08-28 21:26:22 +0900: Memory Usage (617836K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (951720K) : cont_drw has 2901899 polygons
2025-08-28 21:27:53 +0900: Memory Usage (951720K) : cont_opc has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (951720K) : nsd_drw has 0 polygons
2025-08-28 21:27:53 +0900: Memory Usage (951720K) : nsd_block has 0 polygons
2025-08-28 21:28:04 +0900: Memory Usage (973736K) : metal1_drw has 16153 polygons
2025-08-28 21:28:05 +0900: Memory Usage (973736K) : metal1_pin has 794 polygons
2025-08-28 21:28:05 +0900: Memory Usage (973736K) : metal1_mask has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973736K) : metal1_filler has 60876 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973736K) : metal1_nofill has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973736K) : metal1_slit has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_text has 85780 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_opc has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_noqrc has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_res has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_iprobe has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : metal1_diffprb has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : passiv_drw has 39 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : passiv_pin has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : passiv_sbump has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : passiv_pillar has 0 polygons
2025-08-28 21:28:07 +0900: Memory Usage (973992K) : passiv_pdl has 0 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973992K) : metal2_drw has 9306 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973992K) : metal2_pin has 691 polygons
2025-08-28 21:28:10 +0900: Memory Usage (973992K) : metal2_mask has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_filler has 66402 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_nofill has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_slit has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_text has 1251 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_opc has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_noqrc has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_res has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_iprobe has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : metal2_diffprb has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : baspoly_drw has 0 polygons
2025-08-28 21:28:12 +0900: Memory Usage (973992K) : baspoly_pin has 0 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973992K) : psd_drw has 1631 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973992K) : nldb_drw has 0 polygons
2025-08-28 21:28:16 +0900: Memory Usage (973992K) : digibnd_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : via1_drw has 109916 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_pin has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_mask has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_filler has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_nofill has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_slit has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_text has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_opc has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_noqrc has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_res has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_iprobe has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backmetal1_diffprb has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : backpassiv_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : res_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : sram_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : trans_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : ind_drw has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : ind_pin has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : ind_text has 0 polygons
2025-08-28 21:28:20 +0900: Memory Usage (973992K) : salblock_drw has 65 polygons
2025-08-28 21:28:24 +0900: Memory Usage (973992K) : via2_drw has 113723 polygons
2025-08-28 21:28:25 +0900: Memory Usage (973992K) : metal3_drw has 5065 polygons
2025-08-28 21:28:26 +0900: Memory Usage (973992K) : metal3_pin has 242 polygons
2025-08-28 21:28:26 +0900: Memory Usage (973992K) : metal3_mask has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_filler has 41149 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_nofill has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_slit has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_text has 593 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_opc has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_noqrc has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_res has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_iprobe has 0 polygons
2025-08-28 21:28:27 +0900: Memory Usage (973992K) : metal3_diffprb has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : nwell_drw has 226 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : nwell_pin has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : nbulay_drw has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : nbulay_pin has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : nbulay_block has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : emwind_drw has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : emwind_opc has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : deepco_drw has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : deepco_drw has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : mim_drw has 0 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : edgeseal_drw has 1 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : edgeseal_bound has 1 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : substrate_drw has 164 polygons
2025-08-28 21:28:30 +0900: Memory Usage (973992K) : substrate_text has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : dfpad_drw has 38 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : dfpad_pillar has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : dfpad_sbump has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : thickgateox_drw has 74 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : pldb_drw has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : pwell_drw has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : pwell_pin has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : pwell_block has 0 polygons
2025-08-28 21:28:31 +0900: Memory Usage (973992K) : ic_drw has 0 polygons
2025-08-28 21:28:34 +0900: Memory Usage (973992K) : via3_drw has 115220 polygons
2025-08-28 21:28:35 +0900: Memory Usage (973992K) : metal4_drw has 2679 polygons
2025-08-28 21:28:35 +0900: Memory Usage (973992K) : metal4_pin has 76 polygons
2025-08-28 21:28:35 +0900: Memory Usage (973992K) : metal4_mask has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_filler has 41725 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_nofill has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_slit has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_text has 426 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_opc has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_noqrc has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_res has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_iprobe has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : metal4_diffprb has 0 polygons
2025-08-28 21:28:36 +0900: Memory Usage (973992K) : heattrans_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : heatres_drw has 38 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : pempoly_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : fbe_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : empoly_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : ldmos_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : pbiwind_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : digisub_drw has 0 polygons
2025-08-28 21:28:37 +0900: Memory Usage (973992K) : nodrc_drw has 0 polygons
