# Logfile created on 2025-08-28 21:31:43 +0900 by logger.rb/v1.5.3
2025-08-28 21:31:43 +0900: Memory Usage (499680K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-08-28 21:31:43 +0900: Memory Usage (499680K) : Ruby Version for klayout: 3.2.3
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : Loading database to memory is complete.
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_sealring.lyrdb
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : Evaluate switches.
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : table_name selected  sealring
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : Klayout will use 10 thread(s)
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : flat mode is enabled for sealring table.
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : FEOL enabled: true
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : BEOL enabled: true
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : OffGrid enabled: true
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : PreCheck DRC enabled: false
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : CONNECTIVITY_RULES enabled: false for table sealring
2025-08-28 21:31:44 +0900: Memory Usage (543912K) : Read in polygons from layers.
2025-08-28 21:31:51 +0900: Memory Usage (554196K) : activ_drw has 10081 polygons
2025-08-28 21:31:51 +0900: Memory Usage (554196K) : activ_pin has 0 polygons
2025-08-28 21:31:51 +0900: Memory Usage (554196K) : activ_mask has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : activ_filler has 30337 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : activ_nofill has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : activ_opc has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : activ_iopc has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : activ_noqrc has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : biwind_drw has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : biwind_opc has 0 polygons
2025-08-28 21:31:53 +0900: Memory Usage (554196K) : pemwind_drw has 0 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620972K) : gatpoly_drw has 23583 polygons
2025-08-28 21:32:01 +0900: Memory Usage (620972K) : gatpoly_pin has 0 polygons
2025-08-28 21:32:03 +0900: Memory Usage (620972K) : gatpoly_filler has 30337 polygons
2025-08-28 21:32:03 +0900: Memory Usage (620972K) : gatpoly_nofill has 0 polygons
2025-08-28 21:32:03 +0900: Memory Usage (620972K) : gatpoly_opc has 0 polygons
2025-08-28 21:32:03 +0900: Memory Usage (620972K) : gatpoly_iopc has 0 polygons
2025-08-28 21:32:03 +0900: Memory Usage (620972K) : gatpoly_noqrc has 0 polygons
2025-08-28 21:33:29 +0900: Memory Usage (955512K) : cont_drw has 2901899 polygons
2025-08-28 21:33:30 +0900: Memory Usage (955512K) : cont_opc has 0 polygons
2025-08-28 21:33:30 +0900: Memory Usage (955512K) : nsd_drw has 0 polygons
2025-08-28 21:33:30 +0900: Memory Usage (955512K) : nsd_block has 0 polygons
2025-08-28 21:33:41 +0900: Memory Usage (977784K) : metal1_drw has 16153 polygons
2025-08-28 21:33:41 +0900: Memory Usage (977784K) : metal1_pin has 794 polygons
2025-08-28 21:33:41 +0900: Memory Usage (977784K) : metal1_mask has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (977784K) : metal1_filler has 60876 polygons
2025-08-28 21:33:43 +0900: Memory Usage (977784K) : metal1_nofill has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (977784K) : metal1_slit has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_text has 85780 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_opc has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_noqrc has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_res has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_iprobe has 0 polygons
2025-08-28 21:33:43 +0900: Memory Usage (978040K) : metal1_diffprb has 0 polygons
2025-08-28 21:33:44 +0900: Memory Usage (978040K) : passiv_drw has 39 polygons
2025-08-28 21:33:44 +0900: Memory Usage (978040K) : passiv_pin has 0 polygons
2025-08-28 21:33:44 +0900: Memory Usage (978040K) : passiv_sbump has 0 polygons
2025-08-28 21:33:44 +0900: Memory Usage (978040K) : passiv_pillar has 0 polygons
2025-08-28 21:33:44 +0900: Memory Usage (978040K) : passiv_pdl has 0 polygons
2025-08-28 21:33:46 +0900: Memory Usage (978040K) : metal2_drw has 9306 polygons
2025-08-28 21:33:47 +0900: Memory Usage (978040K) : metal2_pin has 691 polygons
2025-08-28 21:33:47 +0900: Memory Usage (978040K) : metal2_mask has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_filler has 66402 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_nofill has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_slit has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_text has 1251 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_opc has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_noqrc has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_res has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_iprobe has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : metal2_diffprb has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : baspoly_drw has 0 polygons
2025-08-28 21:33:49 +0900: Memory Usage (978040K) : baspoly_pin has 0 polygons
