# Logfile created on 2025-09-12 21:24:11 +0900 by logger.rb/v1.5.3
2025-09-12 21:24:11 +0900: Memory Usage (499904K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:24:11 +0900: Memory Usage (499904K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : Loading database to memory is complete.
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_topmetal1.lyrdb
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : Evaluate switches.
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : table_name selected  topmetal1
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : Klayout will use 10 thread(s)
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : flat mode is enabled for topmetal1 table.
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : FEOL enabled: true
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : BEOL enabled: true
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : OffGrid enabled: true
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : PreCheck DRC enabled: false
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : CONNECTIVITY_RULES enabled: false for table topmetal1
2025-09-12 21:24:13 +0900: Memory Usage (544028K) : Read in polygons from layers.
2025-09-12 21:24:19 +0900: Memory Usage (554664K) : activ_drw has 12386 polygons
2025-09-12 21:24:19 +0900: Memory Usage (554664K) : activ_pin has 0 polygons
2025-09-12 21:24:19 +0900: Memory Usage (554664K) : activ_mask has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : activ_filler has 30752 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : activ_nofill has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : activ_opc has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : activ_iopc has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : activ_noqrc has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : biwind_drw has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : biwind_opc has 0 polygons
2025-09-12 21:24:21 +0900: Memory Usage (555176K) : pemwind_drw has 0 polygons
2025-09-12 21:24:29 +0900: Memory Usage (621532K) : gatpoly_drw has 22203 polygons
2025-09-12 21:24:29 +0900: Memory Usage (621532K) : gatpoly_pin has 0 polygons
2025-09-12 21:24:30 +0900: Memory Usage (621532K) : gatpoly_filler has 30752 polygons
2025-09-12 21:24:30 +0900: Memory Usage (621532K) : gatpoly_nofill has 0 polygons
2025-09-12 21:24:30 +0900: Memory Usage (621532K) : gatpoly_opc has 0 polygons
2025-09-12 21:24:30 +0900: Memory Usage (621532K) : gatpoly_iopc has 0 polygons
2025-09-12 21:24:30 +0900: Memory Usage (621532K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:25:58 +0900: Memory Usage (961828K) : cont_drw has 3031017 polygons
2025-09-12 21:25:58 +0900: Memory Usage (961828K) : cont_opc has 0 polygons
2025-09-12 21:25:58 +0900: Memory Usage (961828K) : nsd_drw has 0 polygons
2025-09-12 21:25:58 +0900: Memory Usage (961828K) : nsd_block has 0 polygons
2025-09-12 21:26:09 +0900: Memory Usage (983332K) : metal1_drw has 18812 polygons
2025-09-12 21:26:10 +0900: Memory Usage (983332K) : metal1_pin has 3000 polygons
2025-09-12 21:26:10 +0900: Memory Usage (983332K) : metal1_mask has 0 polygons
2025-09-12 21:26:12 +0900: Memory Usage (983332K) : metal1_filler has 58856 polygons
2025-09-12 21:26:12 +0900: Memory Usage (983332K) : metal1_nofill has 0 polygons
