# Logfile created on 2025-09-12 21:31:15 +0900 by logger.rb/v1.5.3
2025-09-12 21:31:15 +0900: Memory Usage (499564K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:31:15 +0900: Memory Usage (499564K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : Loading database to memory is complete.
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_topvia1.lyrdb
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : Evaluate switches.
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : table_name selected  topvia1
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : Klayout will use 10 thread(s)
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : flat mode is enabled for topvia1 table.
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : FEOL enabled: true
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : BEOL enabled: true
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : OffGrid enabled: true
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : PreCheck DRC enabled: false
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : CONNECTIVITY_RULES enabled: false for table topvia1
2025-09-12 21:31:17 +0900: Memory Usage (543840K) : Read in polygons from layers.
2025-09-12 21:31:23 +0900: Memory Usage (554056K) : activ_drw has 12386 polygons
2025-09-12 21:31:23 +0900: Memory Usage (554056K) : activ_pin has 0 polygons
2025-09-12 21:31:23 +0900: Memory Usage (554056K) : activ_mask has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : activ_filler has 30752 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : activ_nofill has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : activ_opc has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : activ_iopc has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : activ_noqrc has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : biwind_drw has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : biwind_opc has 0 polygons
2025-09-12 21:31:24 +0900: Memory Usage (554568K) : pemwind_drw has 0 polygons
2025-09-12 21:31:33 +0900: Memory Usage (620220K) : gatpoly_drw has 22203 polygons
2025-09-12 21:31:33 +0900: Memory Usage (620220K) : gatpoly_pin has 0 polygons
2025-09-12 21:31:34 +0900: Memory Usage (620220K) : gatpoly_filler has 30752 polygons
2025-09-12 21:31:34 +0900: Memory Usage (620220K) : gatpoly_nofill has 0 polygons
2025-09-12 21:31:34 +0900: Memory Usage (620220K) : gatpoly_opc has 0 polygons
2025-09-12 21:31:34 +0900: Memory Usage (620220K) : gatpoly_iopc has 0 polygons
2025-09-12 21:31:34 +0900: Memory Usage (620220K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:33:00 +0900: Memory Usage (960760K) : cont_drw has 3031017 polygons
2025-09-12 21:33:00 +0900: Memory Usage (960760K) : cont_opc has 0 polygons
2025-09-12 21:33:00 +0900: Memory Usage (960760K) : nsd_drw has 0 polygons
2025-09-12 21:33:00 +0900: Memory Usage (960760K) : nsd_block has 0 polygons
2025-09-12 21:33:11 +0900: Memory Usage (982520K) : metal1_drw has 18812 polygons
2025-09-12 21:33:12 +0900: Memory Usage (982520K) : metal1_pin has 3000 polygons
2025-09-12 21:33:12 +0900: Memory Usage (982520K) : metal1_mask has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_filler has 58856 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_nofill has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_slit has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_text has 74538 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_opc has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_noqrc has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_res has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_iprobe has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : metal1_diffprb has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : passiv_drw has 39 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : passiv_pin has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : passiv_sbump has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : passiv_pillar has 0 polygons
2025-09-12 21:33:14 +0900: Memory Usage (982520K) : passiv_pdl has 0 polygons
2025-09-12 21:33:17 +0900: Memory Usage (982520K) : metal2_drw has 10652 polygons
2025-09-12 21:33:18 +0900: Memory Usage (982520K) : metal2_pin has 1719 polygons
2025-09-12 21:33:18 +0900: Memory Usage (982520K) : metal2_mask has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_filler has 64947 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_nofill has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_slit has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_text has 2418 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_opc has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_noqrc has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_res has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_iprobe has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : metal2_diffprb has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : baspoly_drw has 0 polygons
2025-09-12 21:33:20 +0900: Memory Usage (982520K) : baspoly_pin has 0 polygons
2025-09-12 21:33:23 +0900: Memory Usage (982520K) : psd_drw has 2330 polygons
2025-09-12 21:33:23 +0900: Memory Usage (982520K) : nldb_drw has 0 polygons
2025-09-12 21:33:23 +0900: Memory Usage (982520K) : digibnd_drw has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : via1_drw has 128111 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_drw has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_pin has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_mask has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_filler has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_nofill has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_slit has 0 polygons
2025-09-12 21:33:27 +0900: Memory Usage (982520K) : backmetal1_text has 0 polygons
