# Logfile created on 2025-09-12 21:29:51 +0900 by logger.rb/v1.5.3
2025-09-12 21:29:51 +0900: Memory Usage (499976K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:29:51 +0900: Memory Usage (499976K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : Loading database to memory is complete.
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_via1.lyrdb
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : Evaluate switches.
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : table_name selected  via1
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : Klayout will use 10 thread(s)
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : flat mode is enabled for via1 table.
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : FEOL enabled: true
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : BEOL enabled: true
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : OffGrid enabled: true
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : PreCheck DRC enabled: false
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : CONNECTIVITY_RULES enabled: false for table via1
2025-09-12 21:29:53 +0900: Memory Usage (544508K) : Read in polygons from layers.
2025-09-12 21:30:00 +0900: Memory Usage (555008K) : activ_drw has 12386 polygons
2025-09-12 21:30:00 +0900: Memory Usage (555008K) : activ_pin has 0 polygons
2025-09-12 21:30:00 +0900: Memory Usage (555008K) : activ_mask has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : activ_filler has 30752 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : activ_nofill has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : activ_opc has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : activ_iopc has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : activ_noqrc has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : biwind_drw has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : biwind_opc has 0 polygons
2025-09-12 21:30:01 +0900: Memory Usage (555520K) : pemwind_drw has 0 polygons
2025-09-12 21:30:09 +0900: Memory Usage (621940K) : gatpoly_drw has 22203 polygons
2025-09-12 21:30:09 +0900: Memory Usage (621940K) : gatpoly_pin has 0 polygons
2025-09-12 21:30:10 +0900: Memory Usage (621940K) : gatpoly_filler has 30752 polygons
2025-09-12 21:30:10 +0900: Memory Usage (621940K) : gatpoly_nofill has 0 polygons
2025-09-12 21:30:10 +0900: Memory Usage (621940K) : gatpoly_opc has 0 polygons
2025-09-12 21:30:10 +0900: Memory Usage (621940K) : gatpoly_iopc has 0 polygons
2025-09-12 21:30:10 +0900: Memory Usage (621940K) : gatpoly_noqrc has 0 polygons
2025-09-12 21:31:38 +0900: Memory Usage (960496K) : cont_drw has 3031017 polygons
2025-09-12 21:31:38 +0900: Memory Usage (960496K) : cont_opc has 0 polygons
