# Logfile created on 2025-09-12 21:21:29 +0900 by logger.rb/v1.5.3
2025-09-12 21:21:29 +0900: Memory Usage (500412K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/outputs/asicone_202508.fill.gds
2025-09-12 21:21:29 +0900: Memory Usage (500412K) : Ruby Version for klayout: 3.2.3
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : Loading database to memory is complete.
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : IHP-SG13G2 Klayout DRC runset output at: /home/ckdur/Documents/SymbioticEDA/asicone_sg13g2/chip/signoff/reports/asicone_202508.fill_asicone_202508_vian.lyrdb
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : Evaluate switches.
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : table_name selected  vian
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : Klayout will use 10 thread(s)
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : flat mode is enabled for vian table.
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : FEOL enabled: true
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : BEOL enabled: true
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : OffGrid enabled: true
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : PreCheck DRC enabled: false
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : CONNECTIVITY_RULES enabled: false for table vian
2025-09-12 21:21:30 +0900: Memory Usage (545104K) : Read in polygons from layers.
2025-09-12 21:21:37 +0900: Memory Usage (554416K) : activ_drw has 12386 polygons
2025-09-12 21:21:37 +0900: Memory Usage (554416K) : activ_pin has 0 polygons
2025-09-12 21:21:37 +0900: Memory Usage (554416K) : activ_mask has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : activ_filler has 30752 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : activ_nofill has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : activ_opc has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : activ_iopc has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : activ_noqrc has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : biwind_drw has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : biwind_opc has 0 polygons
2025-09-12 21:21:38 +0900: Memory Usage (554928K) : pemwind_drw has 0 polygons
2025-09-12 21:21:47 +0900: Memory Usage (621172K) : gatpoly_drw has 22203 polygons
2025-09-12 21:21:47 +0900: Memory Usage (621172K) : gatpoly_pin has 0 polygons
2025-09-12 21:21:48 +0900: Memory Usage (621172K) : gatpoly_filler has 30752 polygons
2025-09-12 21:21:48 +0900: Memory Usage (621172K) : gatpoly_nofill has 0 polygons
