DRC: batch mode
Rule Act.a: 0 error(s)
Rule Act.b: 0 error(s)
Rule AFil.g: 0 error(s)
Rule AFil.g1: 0 error(s)
Rule AFil.g2: 0 error(s)
Rule AFil.g3: 0 error(s)
Rule TGO.f: 0 error(s)
Rule Gat.a: 0 error(s)
Rule Gat.b: 0 error(s)
Rule Gat.d: 0 error(s)
Rule GFil.g: 0 error(s)
Rule Cnt.a: 0 error(s)
Rule Cnt.b: 0 error(s)
Rule M1.a: 0 error(s)
Rule M1.b: 0 error(s)
Rule M1.j: 0 error(s)
Rule M1.k: 0 error(s)
Rule M2.a: 0 error(s)
Rule M2.b: 0 error(s)
Rule M2.j: 0 error(s)
Rule M2.k: 0 error(s)
Rule M3.a: 0 error(s)
Rule M3.b: 0 error(s)
Rule M3.j: 0 error(s)
Rule M3.k: 0 error(s)
Rule M4.a: 0 error(s)
Rule M4.b: 0 error(s)
Rule M4.j: 0 error(s)
Rule M4.k: 0 error(s)
Rule M5.a: 0 error(s)
Rule M5.b: 0 error(s)
Rule M5.j: 0 error(s)
Rule M5.k: 0 error(s)
Rule M1Fil.h: 0 error(s)
Rule M1Fil.k: 0 error(s)
Rule M2Fil.h: 0 error(s)
Rule M2Fil.k: 0 error(s)
Rule M3Fil.h: 1 error(s)
Rule M3Fil.k: 0 error(s)
Rule M4Fil.h: 0 error(s)
Rule M4Fil.k: 0 error(s)
Rule M5Fil.h: 0 error(s)
Rule M5Fil.k: 0 error(s)
Rule V1.a: 0 error(s)
Rule V1.b: 0 error(s)
Rule V2.a: 0 error(s)
Rule V2.b: 0 error(s)
Rule V3.a: 0 error(s)
Rule V3.b: 0 error(s)
Rule V4.a: 0 error(s)
Rule V4.b: 0 error(s)
Rule TV1.a: 0 error(s)
Rule TV1.b: 0 error(s)
Rule TM1.a: 0 error(s)
Rule TM1.b: 0 error(s)
Rule TM1.c: 0 error(s)
Rule TM1.d: 0 error(s)
Rule TV2.a: 0 error(s)
Rule TV2.b: 0 error(s)
Rule TM2.a: 0 error(s)
Rule TM2.b: 0 error(s)
Rule TM2.c: 0 error(s)
Rule TM2.d: 0 error(s)
Rule Pas.a: 0 error(s)
Rule Pas.b: 0 error(s)
Rule Pin.a: 0 error(s)
Rule Pin.b: 0 error(s)
Rule Pin.e: 0 error(s)
Rule Pin.f.M2: 0 error(s)
Rule Pin.f.M3: 0 error(s)
Rule Pin.f.M4: 0 error(s)
Rule Pin.f.M5: 0 error(s)
Rule Pin.g: 0 error(s)
Rule Pin.h: 0 error(s)
Rule LBE.a: 0 error(s)
Rule LBE.b: 0 error(s)
Rule LBE.b1: 0 error(s)
Rule LBE.c: 0 error(s)
Rule LBE.d: 0 error(s)
Rule LBE.h: 0 error(s)
Rule LBE.i: 0 error(s)
Rule forbidden.BiWind: 0 error(s)
Rule forbidden.PEmWind: 0 error(s)
Rule forbidden.BasPoly: 0 error(s)
Rule forbidden.DeepCo: 0 error(s)
Rule forbidden.PEmPoly: 0 error(s)
Rule forbidden.EmPoly: 0 error(s)
Rule forbidden.LDMOS: 0 error(s)
Rule forbidden.PBiWind: 0 error(s)
Rule forbidden.Flash: 0 error(s)
Rule forbidden.ColWind: 0 error(s)
Number of DRC errors: 1
Elapsed time: 3:02.53[h:]min:sec. CPU time: user 182.50 sys 0.91 (100%). Peak memory: 1731784KB.
