# Logfile created on 2025-09-10 23:42:27 +0200 by logger.rb/v1.5.3
2025-09-10 23:42:27 +0200: Memory Usage (419136K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/nq5949/Dokumente/psoc/TO_Sep2025/psoc-soc/orfs/flow/results/ihp-sg13g2/soc_top/base/9_manual.gds
2025-09-10 23:42:27 +0200: Memory Usage (419136K) : Ruby Version for klayout: 3.2.3
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : Loading database to memory is complete.
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : IHP-SG13G2 Klayout DRC runset output at: /home/nq5949/Dokumente/psoc/TO_Sep2025/psoc-soc/drc_run_soc_top/9_manual_soc_top_main.lyrdb
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : Evaluate switches.
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : table_name selected  main
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : Klayout will use 1 thread(s)
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : deep mode is enabled for main table.
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : FEOL enabled: true
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : BEOL enabled: true
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : OffGrid enabled: true
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : PreCheck DRC enabled: false
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : CONNECTIVITY_RULES enabled: true for table main
2025-09-10 23:42:28 +0200: Memory Usage (539420K) : Read in polygons from layers.
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_drw has 5093211 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_pin has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_mask has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_filler has 34806 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_nofill has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_opc has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_iopc has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : activ_noqrc has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : biwind_drw has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : biwind_opc has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : pemwind_drw has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : gatpoly_drw has 4378711 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : gatpoly_pin has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : gatpoly_filler has 34806 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : gatpoly_nofill has 0 polygons
2025-09-10 23:42:28 +0200: Memory Usage (556836K) : gatpoly_opc has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (556836K) : gatpoly_iopc has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (556836K) : gatpoly_noqrc has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : cont_drw has 12605146 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : cont_opc has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : nsd_drw has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : nsd_block has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_drw has 8912780 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_pin has 378275 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_mask has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_filler has 51492 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_nofill has 0 polygons
2025-09-10 23:42:29 +0200: Memory Usage (566052K) : metal1_slit has 0 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_text has 251418 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_opc has 0 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_noqrc has 0 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_res has 84 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_iprobe has 0 polygons
2025-09-10 23:42:30 +0200: Memory Usage (566052K) : metal1_diffprb has 0 polygons
