# Logfile created on 2025-09-12 23:17:26 +0200 by logger.rb/v1.5.3
2025-09-12 23:17:26 +0200: Memory Usage (418552K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/nq5949/Dokumente/psoc/TO_Sep2025/psoc-soc/design_data/gds/FMD_QNC_final_layout.gds
2025-09-12 23:17:26 +0200: Memory Usage (418552K) : Ruby Version for klayout: 3.2.3
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : Loading database to memory is complete.
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : IHP-SG13G2 Klayout DRC runset output at: /home/nq5949/Dokumente/psoc/TO_Sep2025/psoc-soc/drc_run_soc_top/FMD_QNC_final_layout_soc_top_main.lyrdb
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : Evaluate switches.
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : table_name selected  main
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : Klayout will use 1 thread(s)
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : deep mode is enabled for main table.
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : FEOL enabled: true
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : BEOL enabled: true
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : OffGrid enabled: true
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : PreCheck DRC enabled: false
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : CONNECTIVITY_RULES enabled: true for table main
2025-09-12 23:17:26 +0200: Memory Usage (537716K) : Read in polygons from layers.
2025-09-12 23:17:26 +0200: Memory Usage (555124K) : activ_drw has 5093211 polygons
2025-09-12 23:17:26 +0200: Memory Usage (555124K) : activ_pin has 0 polygons
2025-09-12 23:17:26 +0200: Memory Usage (555124K) : activ_mask has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : activ_filler has 34806 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : activ_nofill has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : activ_opc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : activ_iopc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : activ_noqrc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : biwind_drw has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : biwind_opc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : pemwind_drw has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_drw has 4378711 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_pin has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_filler has 34806 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_nofill has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_opc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_iopc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (555124K) : gatpoly_noqrc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (564340K) : cont_drw has 12605146 polygons
2025-09-12 23:17:27 +0200: Memory Usage (564340K) : cont_opc has 0 polygons
2025-09-12 23:17:27 +0200: Memory Usage (564340K) : nsd_drw has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (564340K) : nsd_block has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_drw has 8912780 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_pin has 378275 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_mask has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_filler has 51492 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_nofill has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_slit has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_text has 251418 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_opc has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_noqrc has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_res has 84 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_iprobe has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : metal1_diffprb has 0 polygons
2025-09-12 23:17:28 +0200: Memory Usage (565396K) : passiv_drw has 52 polygons
2025-09-12 23:17:29 +0200: Memory Usage (565396K) : passiv_pin has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (565396K) : passiv_sbump has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (565396K) : passiv_pillar has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (565396K) : passiv_pdl has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_drw has 4040006 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_pin has 3518204 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_mask has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_filler has 70263 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_nofill has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_slit has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_text has 2269884 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_opc has 0 polygons
2025-09-12 23:17:29 +0200: Memory Usage (571540K) : metal2_noqrc has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : metal2_res has 622880 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : metal2_iprobe has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : metal2_diffprb has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : baspoly_drw has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : baspoly_pin has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : psd_drw has 905268 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : nldb_drw has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : digibnd_drw has 389004 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : via1_drw has 3402547 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : backmetal1_drw has 0 polygons
2025-09-12 23:17:30 +0200: Memory Usage (571540K) : backmetal1_pin has 0 polygons
